Bandit,Reward,Algorithm
2.0,0.0,EpsilonGreedy
1.0,1.0,EpsilonGreedy
0.0,0.0,EpsilonGreedy
1.0,0.0,EpsilonGreedy
1.0,1.0,EpsilonGreedy
0.0,0.0,EpsilonGreedy
1.0,0.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,0.0,EpsilonGreedy
1.0,1.0,EpsilonGreedy
1.0,0.0,EpsilonGreedy
1.0,1.0,EpsilonGreedy
1.0,0.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,0.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,0.0,EpsilonGreedy
3.0,0.0,EpsilonGreedy
1.0,1.0,EpsilonGreedy
1.0,0.0,EpsilonGreedy
1.0,0.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
0.0,0.0,EpsilonGreedy
3.0,0.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,0.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
0.0,0.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,0.0,EpsilonGreedy
3.0,0.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,0.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,0.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,0.0,EpsilonGreedy
3.0,0.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,0.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,0.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,0.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,0.0,EpsilonGreedy
3.0,0.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,0.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,0.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
3.0,1.0,EpsilonGreedy
